,Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,SURVEILLANCE AND LEAKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,207,80,77,48,83
0,HACKING AND SURVEILLANCE AND DISCLOSURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,5,9,11,74
0,GCHQ AND SURVEILLANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,231,152,174,70,61
0,GCHQ AND PRIVACY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,94,120,45,62
0,AUSTRIA AND PRIVACY AND EITHER HNA AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0,AUSTRIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0,BELGIUM AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
0,BELGIUM AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
0,BULGARIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0,BULGARIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
0,CROATIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0,CROATIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
0,CYPRUS AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0,CYPRUS AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,CZECH REPUBLIC AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,7,40
0,CZECH REPUBLIC AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,9,27
0,DENMARK AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
0,DENMARK AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
0,ESTONIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0,ESTONIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
0,FINLAND AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
0,FINLAND AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0,FRANCE AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
0,FRANCE AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,36
0,GERMANY AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
0,GERMANY AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,GREECE AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,18,7,66
0,GREECE AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,37,25,37
0,HUNGARY AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
0,HUNGARY AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
0,HUNGARY AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
0,HUNGARY AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
0,IRELAND AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0,IRELAND AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
0,ITALY AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0,ITALY AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0,LATVIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0,LATVIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0,LITHUANIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
0,LITHUANIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38
0,LUXEMBOURG AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
0,LUXEMBOURG AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0,MALTA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3,60
0,MALTA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,38
0,NETHERLANDS AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
0,NETHERLANDS AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,POLAND AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
0,POLAND AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
0,PORTUGAL AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
0,PORTUGAL AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,ROMANIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
0,ROMANIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0,SLOVAKIA AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0,SLOVAKIA AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0,SPAIN AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67
0,SPAIN AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38
0,SWEDEN AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0,SWEDEN AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0,UK AND PRIVACY AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,122,80,106,38,72
0,UK AND SURVEILLANCE AND EITHER AGENCIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,234,130,160,56,62
